Year,Temperature,Anomaly
1901,25.587903026427963,0
1902,25.78216517476556,0
1903,25.31429326513214,0
1904,25.25830967604433,0
1905,25.00066283034953,0
1906,25.39805200341006,0
1907,25.20812276214834,0
1908,25.284083972719525,0
1909,25.16822378516624,0
1910,25.04767668371697,0
1911,25.385760869565217,0
1912,25.482384697357205,0
1913,25.19099339300938,0
1914,25.31581436487639,0
1915,25.767090366581417,0
1916,25.322373401534527,0
1917,24.573570758738278,1
1918,25.27591645353794,0
1919,25.316255115089515,0
1920,25.471323316283037,0
1921,25.754419437340154,0
1922,25.382418158567774,0
1923,25.424976982097185,0
1924,25.547697783461214,0
1925,25.14681074168798,0
1926,25.3428037084399,0
1927,25.291330562659844,0
1928,25.661961423699914,0
1929,25.499152813299233,0
1930,25.35265664961637,0
1931,25.75797293265132,0
1932,25.605511082693948,0
1933,25.032754688832053,0
1934,25.271978047740834,0
1935,25.292873614663257,0
1936,25.30493350383632,0
1937,25.18117220801364,0
1938,25.414424552429665,0
1939,25.501080136402386,0
1940,25.398957587382778,0
1941,26.175723358908783,0
1942,25.7001489769821,0
1943,25.413634484228474,0
1944,25.356147485080992,0
1945,25.174669011082695,0
1946,25.573847826086958,0
1947,25.760318414322253,0
1948,25.69858695652174,0
1949,25.521556905370844,0
1950,25.175591005967608,0
1951,25.746537297527706,0
1952,25.84038746803069,0
1953,26.055635336743393,0
1954,25.670212276214833,0
1955,25.45971739130435,0
1956,25.39269245524297,0
1957,25.554703111679455,0
1958,26.198643222506394,0
1959,25.75895950554135,0
1960,25.77712872975277,0
1961,25.325858269394715,0
1962,25.401241048593352,0
1963,25.602901747655583,0
1964,25.578348039215687,0
1965,25.597790920716115,0
1966,25.950107843137257,0
1967,25.496359548167096,0
1968,25.379547101449276,0
1969,25.97850149190111,0
1970,25.57256052855925,0
1971,25.080024083546462,0
1972,25.7659663256607,0
1973,25.848929028132993,0
1974,25.666028985507246,0
1975,25.389371909633418,0
1976,25.694477408354647,0
1977,25.765546888320547,0
1978,25.492502344416028,0
1979,26.07561040068201,0
1980,26.07368904518329,0
1981,25.67690579710145,0
1982,25.713459931798806,0
1983,25.43940537084399,0
1984,25.66873891730605,0
1985,25.982617007672633,0
1986,25.7836031543052,0
1987,26.342157289002557,0
1988,26.208039855072464,0
1989,25.662949701619777,0
1990,25.692166879795394,0
1991,25.846563299232734,0
1992,25.748813725490198,0
1993,25.8991905370844,0
1994,25.82854539641944,0
1995,25.96707118499574,0
1996,25.919418371696505,0
1997,25.549447996589944,0
1998,26.219083120204605,0
1999,26.158037723785167,0
2000,25.98114791133845,0
2001,26.045342284739984,0
2002,26.406908141517476,1
2003,26.12711402387042,0
2004,26.119607843137253,0
2005,26.01225383631714,0
2006,26.26153537936914,0
2007,26.12591346973572,0
2008,25.888367007672635,0
2009,26.603118925831204,1
2010,26.549878090366583,1
2011,25.88049914748508,0
2012,26.19122591645354,0
2013,26.864186061381073,1
